Metric_ID,Metric,Order,Date,Value,Company,Currency,Value_USD
2977269995,Free Cash Flow,1,2025-12-31 00:00:00,17151378,HAIER GROUP,CNY,2386806
1228413513,Repayment Of Debt,2,2025-12-31 00:00:00,-31629213,HAIER GROUP,CNY,-4401558
1137358548,Issuance Of Debt,3,2025-12-31 00:00:00,33147962,HAIER GROUP,CNY,4612909
680069131,Capital Expenditure,4,2025-12-31 00:00:00,-8851564,HAIER GROUP,CNY,-1231794
1960593314,End Cash Position,5,2025-12-31 00:00:00,46267688,HAIER GROUP,CNY,6438665
3961708693,Beginning Cash Position,6,2025-12-31 00:00:00,54994595,HAIER GROUP,CNY,7653111
1832101773,Effect Of Exchange Rate Changes,7,2025-12-31 00:00:00,16163,HAIER GROUP,CNY,2249
988603864,Changes In Cash,8,2025-12-31 00:00:00,-8743071,HAIER GROUP,CNY,-1216696
2797759960,Financing Cash Flow,9,2025-12-31 00:00:00,-17670709,HAIER GROUP,CNY,-2459076
456011402,Net Other Financing Charges,10,2025-12-31 00:00:00,-5316029,HAIER GROUP,CNY,-739785
1582078600,Cash Dividends Paid,11,2025-12-31 00:00:00,-13873429,HAIER GROUP,CNY,-1930642
2573207907,Net Issuance Payments Of Debt,12,2025-12-31 00:00:00,1518749,HAIER GROUP,CNY,211351
2145002083,Net Long Term Debt Issuance,13,2025-12-31 00:00:00,1518749,HAIER GROUP,CNY,211351
1628994672,Long Term Debt Payments,14,2025-12-31 00:00:00,-31629213,HAIER GROUP,CNY,-4401558
1203691427,Long Term Debt Issuance,15,2025-12-31 00:00:00,33147962,HAIER GROUP,CNY,4612909
3194771219,Investing Cash Flow,16,2025-12-31 00:00:00,-17075304,HAIER GROUP,CNY,-2376219
3200495279,Net Other Investing Changes,17,2025-12-31 00:00:00,130701,HAIER GROUP,CNY,18188
2735778462,Net Investment Purchase And Sale,18,2025-12-31 00:00:00,-8472775,HAIER GROUP,CNY,-1179081
367147391,Sale Of Investment,19,2025-12-31 00:00:00,45502233,HAIER GROUP,CNY,6332143
337375956,Purchase Of Investment,20,2025-12-31 00:00:00,-53975008,HAIER GROUP,CNY,-7511224
1488814439,Net Business Purchase And Sale,21,2025-12-31 00:00:00,,HAIER GROUP,CNY,
1813988262,Sale Of Business,22,2025-12-31 00:00:00,,HAIER GROUP,CNY,
1154627360,Purchase Of Business,23,2025-12-31 00:00:00,,HAIER GROUP,CNY,
4048135738,Net PPE Purchase And Sale,24,2025-12-31 00:00:00,-8733229,HAIER GROUP,CNY,-1215326
3662141119,Sale Of PPE,25,2025-12-31 00:00:00,118334,HAIER GROUP,CNY,16468
3450351924,Purchase Of PPE,26,2025-12-31 00:00:00,-8851564,HAIER GROUP,CNY,-1231794
2662463617,Operating Cash Flow,27,2025-12-31 00:00:00,26002942,HAIER GROUP,CNY,3618599
1058934381,Change In Working Capital,28,2025-12-31 00:00:00,-5665478,HAIER GROUP,CNY,-788414
237933053,Change In Other Current Assets,29,2025-12-31 00:00:00,-115857,HAIER GROUP,CNY,-16123
1022350227,Change In Payable,30,2025-12-31 00:00:00,-4287508,HAIER GROUP,CNY,-596655
4276808437,Change In Inventory,31,2025-12-31 00:00:00,-4651671,HAIER GROUP,CNY,-647332
1451443061,Change In Receivables,32,2025-12-31 00:00:00,3389558,HAIER GROUP,CNY,471695
1536450007,Other Non Cash Items,33,2025-12-31 00:00:00,2415084,HAIER GROUP,CNY,336086
73637886,Depreciation And Amortization,34,2025-12-31 00:00:00,8495754,HAIER GROUP,CNY,1182279
2881797481,Amortization Cash Flow,35,2025-12-31 00:00:00,1413187,HAIER GROUP,CNY,196661
1015472279,Depreciation,36,2025-12-31 00:00:00,7082567,HAIER GROUP,CNY,985618
3959851581,Gain Loss On Investment Securities,37,2025-12-31 00:00:00,-1621782,HAIER GROUP,CNY,-225689
2649270222,Gain Loss On Sale Of PPE,38,2025-12-31 00:00:00,197506,HAIER GROUP,CNY,27485
2892657529,Net Income From Continuing Operations,39,2025-12-31 00:00:00,20163094,HAIER GROUP,CNY,2805919
4231258044,Cash Flowsfromusedin Operating Activities Direct,40,2025-12-31 00:00:00,26002942,HAIER GROUP,CNY,3618599
1169141764,Taxes Refund Paid Direct,41,2025-12-31 00:00:00,-14767092,HAIER GROUP,CNY,-2055006
1515239868,Classesof Cash Payments,42,2025-12-31 00:00:00,-287379928,HAIER GROUP,CNY,-39992122
3285808512,Other Cash Paymentsfrom Operating Activities,43,2025-12-31 00:00:00,-26337107,HAIER GROUP,CNY,-3665102
1861051769,Paymentson Behalfof Employees,44,2025-12-31 00:00:00,-35347931,HAIER GROUP,CNY,-4919059
4175583221,Paymentsto Suppliersfor Goodsand Services,45,2025-12-31 00:00:00,-225694890,HAIER GROUP,CNY,-31407961
3840031536,Classesof Cash Receiptsfrom Operating Activities,46,2025-12-31 00:00:00,328149962,HAIER GROUP,CNY,45665726
3047752737,Other Cash Receiptsfrom Operating Activities,47,2025-12-31 00:00:00,3560391,HAIER GROUP,CNY,495468
2224403217,Receiptsfrom Customers,48,2025-12-31 00:00:00,324589572,HAIER GROUP,CNY,45170258
2977269995,Free Cash Flow,1,2024-12-31 00:00:00,16238024,HAIER GROUP,CNY,2259853
1228413513,Repayment Of Debt,2,2024-12-31 00:00:00,-9568988,HAIER GROUP,CNY,-1331720
1137358548,Issuance Of Debt,3,2024-12-31 00:00:00,13648752,HAIER GROUP,CNY,1899503
680069131,Capital Expenditure,4,2024-12-31 00:00:00,-10080067,HAIER GROUP,CNY,-1402847
1960593314,End Cash Position,5,2024-12-31 00:00:00,54994595,HAIER GROUP,CNY,7653621
3961708693,Beginning Cash Position,6,2024-12-31 00:00:00,56715673,HAIER GROUP,CNY,7893144
1832101773,Effect Of Exchange Rate Changes,7,2024-12-31 00:00:00,-256391,HAIER GROUP,CNY,-35682
988603864,Changes In Cash,8,2024-12-31 00:00:00,-1464687,HAIER GROUP,CNY,-203841
2797759960,Financing Cash Flow,9,2024-12-31 00:00:00,-7703506,HAIER GROUP,CNY,-1072100
456011402,Net Other Financing Charges,10,2024-12-31 00:00:00,-1691630,HAIER GROUP,CNY,-235425
1582078600,Cash Dividends Paid,11,2024-12-31 00:00:00,-10091640,HAIER GROUP,CNY,-1404458
2573207907,Net Issuance Payments Of Debt,12,2024-12-31 00:00:00,4079764,HAIER GROUP,CNY,567783
2145002083,Net Long Term Debt Issuance,13,2024-12-31 00:00:00,4079764,HAIER GROUP,CNY,567783
1628994672,Long Term Debt Payments,14,2024-12-31 00:00:00,-9568988,HAIER GROUP,CNY,-1331720
1203691427,Long Term Debt Issuance,15,2024-12-31 00:00:00,13648752,HAIER GROUP,CNY,1899503
3194771219,Investing Cash Flow,16,2024-12-31 00:00:00,-20079273,HAIER GROUP,CNY,-2794441
3200495279,Net Other Investing Changes,17,2024-12-31 00:00:00,-178,HAIER GROUP,CNY,-25
2735778462,Net Investment Purchase And Sale,18,2024-12-31 00:00:00,-5632031,HAIER GROUP,CNY,-783812
367147391,Sale Of Investment,19,2024-12-31 00:00:00,17989650,HAIER GROUP,CNY,2503627
337375956,Purchase Of Investment,20,2024-12-31 00:00:00,-23621681,HAIER GROUP,CNY,-3287439
1488814439,Net Business Purchase And Sale,21,2024-12-31 00:00:00,-4409336,HAIER GROUP,CNY,-613649
1813988262,Sale Of Business,22,2024-12-31 00:00:00,,HAIER GROUP,CNY,
1154627360,Purchase Of Business,23,2024-12-31 00:00:00,-4409336,HAIER GROUP,CNY,-613649
4048135738,Net PPE Purchase And Sale,24,2024-12-31 00:00:00,-10037727,HAIER GROUP,CNY,-1396955
3662141119,Sale Of PPE,25,2024-12-31 00:00:00,42341,HAIER GROUP,CNY,5893
3450351924,Purchase Of PPE,26,2024-12-31 00:00:00,-10080067,HAIER GROUP,CNY,-1402847
2662463617,Operating Cash Flow,27,2024-12-31 00:00:00,26318091,HAIER GROUP,CNY,3662700
1058934381,Change In Working Capital,28,2024-12-31 00:00:00,-3663872,HAIER GROUP,CNY,-509903
237933053,Change In Other Current Assets,29,2024-12-31 00:00:00,-869714,HAIER GROUP,CNY,-121039
1022350227,Change In Payable,30,2024-12-31 00:00:00,8635894,HAIER GROUP,CNY,1201861
4276808437,Change In Inventory,31,2024-12-31 00:00:00,-3665428,HAIER GROUP,CNY,-510119
1451443061,Change In Receivables,32,2024-12-31 00:00:00,-7764623,HAIER GROUP,CNY,-1080606
1536450007,Other Non Cash Items,33,2024-12-31 00:00:00,2747582,HAIER GROUP,CNY,382382
73637886,Depreciation And Amortization,34,2024-12-31 00:00:00,7635211,HAIER GROUP,CNY,1062596
2881797481,Amortization Cash Flow,35,2024-12-31 00:00:00,1403251,HAIER GROUP,CNY,195291
1015472279,Depreciation,36,2024-12-31 00:00:00,6231960,HAIER GROUP,CNY,867305
3959851581,Gain Loss On Investment Securities,37,2024-12-31 00:00:00,-1963278,HAIER GROUP,CNY,-273230
2649270222,Gain Loss On Sale Of PPE,38,2024-12-31 00:00:00,50203,HAIER GROUP,CNY,6987
2892657529,Net Income From Continuing Operations,39,2024-12-31 00:00:00,19565539,HAIER GROUP,CNY,2722944
4231258044,Cash Flowsfromusedin Operating Activities Direct,40,2024-12-31 00:00:00,26318091,HAIER GROUP,CNY,3662700
1169141764,Taxes Refund Paid Direct,41,2024-12-31 00:00:00,-14410337,HAIER GROUP,CNY,-2005493
1515239868,Classesof Cash Payments,42,2024-12-31 00:00:00,-269048977,HAIER GROUP,CNY,-37443660
3285808512,Other Cash Paymentsfrom Operating Activities,43,2024-12-31 00:00:00,-25520398,HAIER GROUP,CNY,-3551685
1861051769,Paymentson Behalfof Employees,44,2024-12-31 00:00:00,-31660677,HAIER GROUP,CNY,-4406230
4175583221,Paymentsto Suppliersfor Goodsand Services,45,2024-12-31 00:00:00,-211867903,HAIER GROUP,CNY,-29485746
3840031536,Classesof Cash Receiptsfrom Operating Activities,46,2024-12-31 00:00:00,309777406,HAIER GROUP,CNY,43111853
3047752737,Other Cash Receiptsfrom Operating Activities,47,2024-12-31 00:00:00,2792107,HAIER GROUP,CNY,388579
2224403217,Receiptsfrom Customers,48,2024-12-31 00:00:00,306985299,HAIER GROUP,CNY,42723274
2977269995,Free Cash Flow,1,2023-12-31 00:00:00,15994219,HAIER GROUP,CNY,2263220
1228413513,Repayment Of Debt,2,2023-12-31 00:00:00,-18853901,HAIER GROUP,CNY,-2667871
1137358548,Issuance Of Debt,3,2023-12-31 00:00:00,20942090,HAIER GROUP,CNY,2963355
680069131,Capital Expenditure,4,2023-12-31 00:00:00,-10541562,HAIER GROUP,CNY,-1491656
1960593314,End Cash Position,5,2023-12-31 00:00:00,56683006,HAIER GROUP,CNY,8020779
3961708693,Beginning Cash Position,6,2023-12-31 00:00:00,55157265,HAIER GROUP,CNY,7804883
1832101773,Effect Of Exchange Rate Changes,7,2023-12-31 00:00:00,250797,HAIER GROUP,CNY,35488
988603864,Changes In Cash,8,2023-12-31 00:00:00,1274944,HAIER GROUP,CNY,180408
2797759960,Financing Cash Flow,9,2023-12-31 00:00:00,-7920627,HAIER GROUP,CNY,-1120787
456011402,Net Other Financing Charges,10,2023-12-31 00:00:00,-2752720,HAIER GROUP,CNY,-389516
1582078600,Cash Dividends Paid,11,2023-12-31 00:00:00,-7256096,HAIER GROUP,CNY,-1026755
2573207907,Net Issuance Payments Of Debt,12,2023-12-31 00:00:00,2088188,HAIER GROUP,CNY,295484
2145002083,Net Long Term Debt Issuance,13,2023-12-31 00:00:00,2088188,HAIER GROUP,CNY,295484
1628994672,Long Term Debt Payments,14,2023-12-31 00:00:00,-18853901,HAIER GROUP,CNY,-2667871
1203691427,Long Term Debt Issuance,15,2023-12-31 00:00:00,20942090,HAIER GROUP,CNY,2963355
