Metric_ID,Metric,Order,Date,Value,Company,Currency,Value_USD
3597068318,Tax Effect Of Unusual Items,1,2025-12-31 00:00:00,-180618,HAIER GROUP,CNY,-25135
4192895961,Tax Rate For Calcs,2,2025-12-31 00:00:00,0,HAIER GROUP,CNY,0
1277631735,Normalized EBITDA,3,2025-12-31 00:00:00,35932971,HAIER GROUP,CNY,5000474
1369655133,Total Unusual Items,4,2025-12-31 00:00:00,-1278990,HAIER GROUP,CNY,-177986
839479596,Total Unusual Items Excluding Goodwill,5,2025-12-31 00:00:00,-1278990,HAIER GROUP,CNY,-177986
907281503,Net Income From Continuing Operation Net Minority Interest,6,2025-12-31 00:00:00,19552798,HAIER GROUP,CNY,2720990
4240343691,Reconciled Depreciation,7,2025-12-31 00:00:00,8495754,HAIER GROUP,CNY,1182279
932868105,Reconciled Cost Of Revenue,8,2025-12-31 00:00:00,221738754,HAIER GROUP,CNY,30857420
821479694,EBITDA,9,2025-12-31 00:00:00,34653982,HAIER GROUP,CNY,4822488
3274434267,EBIT,10,2025-12-31 00:00:00,26158228,HAIER GROUP,CNY,3640209
4177730656,Net Interest Income,11,2025-12-31 00:00:00,-950049,HAIER GROUP,CNY,-132210
1701621849,Interest Expense,12,2025-12-31 00:00:00,2679484,HAIER GROUP,CNY,372880
119039827,Interest Income,13,2025-12-31 00:00:00,1719938,HAIER GROUP,CNY,239349
2296657133,Normalized Income,14,2025-12-31 00:00:00,20651170,HAIER GROUP,CNY,2873841
2520967599,Net Income From Continuing And Discontinued Operation,15,2025-12-31 00:00:00,19552798,HAIER GROUP,CNY,2720990
284208572,Total Expenses,16,2025-12-31 00:00:00,278923146,HAIER GROUP,CNY,38815266
921665098,Total Operating Income As Reported,17,2025-12-31 00:00:00,23725493,HAIER GROUP,CNY,3301667
532214794,Diluted Average Shares,18,2025-12-31 00:00:00,,HAIER GROUP,CNY,
374864479,Basic Average Shares,19,2025-12-31 00:00:00,,HAIER GROUP,CNY,
131340068,Diluted EPS,20,2025-12-31 00:00:00,,HAIER GROUP,CNY,
667062495,Basic EPS,21,2025-12-31 00:00:00,,HAIER GROUP,CNY,
2947447792,Net Income Common Stockholders,22,2025-12-31 00:00:00,19552798,HAIER GROUP,CNY,2720990
2658843341,Otherunder Preferred Stock Dividend,23,2025-12-31 00:00:00,0,HAIER GROUP,CNY,0
556958182,Net Income,24,2025-12-31 00:00:00,19552798,HAIER GROUP,CNY,2720990
58176164,Minority Interests,25,2025-12-31 00:00:00,-610295,HAIER GROUP,CNY,-84929
423449725,Net Income Including Noncontrolling Interests,26,2025-12-31 00:00:00,20163094,HAIER GROUP,CNY,2805919
2538827708,Net Income Continuous Operations,27,2025-12-31 00:00:00,20163094,HAIER GROUP,CNY,2805919
3981980527,Tax Provision,28,2025-12-31 00:00:00,3315650,HAIER GROUP,CNY,461410
4194861527,Pretax Income,29,2025-12-31 00:00:00,23478744,HAIER GROUP,CNY,3267329
2369055627,Other Non Operating Income Expenses,30,2025-12-31 00:00:00,-246749,HAIER GROUP,CNY,-34338
688430960,Special Income Charges,31,2025-12-31 00:00:00,-1370886,HAIER GROUP,CNY,-190774
1255501996,Other Special Charges,32,2025-12-31 00:00:00,31037,HAIER GROUP,CNY,4319
2582896710,Write Off,33,2025-12-31 00:00:00,25783,HAIER GROUP,CNY,3588
284843506,Impairment Of Capital Assets,34,2025-12-31 00:00:00,1314066,HAIER GROUP,CNY,182867
2890179891,Net Non Operating Interest Income Expense,35,2025-12-31 00:00:00,-950049,HAIER GROUP,CNY,-132210
1364412667,Total Other Finance Cost,36,2025-12-31 00:00:00,-9497,HAIER GROUP,CNY,-1322
825322702,Interest Expense Non Operating,37,2025-12-31 00:00:00,2679484,HAIER GROUP,CNY,372880
4223576696,Interest Income Non Operating,38,2025-12-31 00:00:00,1719938,HAIER GROUP,CNY,239349
448526311,Operating Income,39,2025-12-31 00:00:00,23423638,HAIER GROUP,CNY,3259660
3836934600,Operating Expense,40,2025-12-31 00:00:00,57184392,HAIER GROUP,CNY,7957846
3907239371,Other Operating Expenses,41,2025-12-31 00:00:00,1329748,HAIER GROUP,CNY,185049
631223467,Research And Development,42,2025-12-31 00:00:00,10095934,HAIER GROUP,CNY,1404962
4083977421,Selling General And Administration,43,2025-12-31 00:00:00,47640269,HAIER GROUP,CNY,6629675
2027194460,Selling And Marketing Expense,44,2025-12-31 00:00:00,33877815,HAIER GROUP,CNY,4714476
1787764898,General And Administrative Expense,45,2025-12-31 00:00:00,13762454,HAIER GROUP,CNY,1915199
735653421,Gross Profit,46,2025-12-31 00:00:00,80608030,HAIER GROUP,CNY,11217506
2398384430,Cost Of Revenue,47,2025-12-31 00:00:00,221738754,HAIER GROUP,CNY,30857420
1564807073,Total Revenue,48,2025-12-31 00:00:00,302346784,HAIER GROUP,CNY,42074926
817578210,Operating Revenue,49,2025-12-31 00:00:00,302346784,HAIER GROUP,CNY,42074926
