Date,Metric_ID,Metric,Order,Value,Value_USD,Company,Currency
1993-11-19,667844491,Stock,1,0.44,,HAIER GROUP,CNY
1993-11-22,667844491,Stock,1,0.45,,HAIER GROUP,CNY
1993-11-23,667844491,Stock,1,0.44,,HAIER GROUP,CNY
1993-11-24,667844491,Stock,1,0.45,,HAIER GROUP,CNY
1993-11-25,667844491,Stock,1,0.47,,HAIER GROUP,CNY
1993-11-26,667844491,Stock,1,0.46,,HAIER GROUP,CNY
1993-11-29,667844491,Stock,1,0.45,,HAIER GROUP,CNY
1993-11-30,667844491,Stock,1,0.45,,HAIER GROUP,CNY
1993-12-01,667844491,Stock,1,0.45,,HAIER GROUP,CNY
1993-12-02,667844491,Stock,1,0.45,,HAIER GROUP,CNY
1993-12-03,667844491,Stock,1,0.45,,HAIER GROUP,CNY
1993-12-06,667844491,Stock,1,0.45,,HAIER GROUP,CNY
1993-12-07,667844491,Stock,1,0.44,,HAIER GROUP,CNY
1993-12-08,667844491,Stock,1,0.44,,HAIER GROUP,CNY
1993-12-09,667844491,Stock,1,0.42,,HAIER GROUP,CNY
1993-12-10,667844491,Stock,1,0.42,,HAIER GROUP,CNY
1993-12-13,667844491,Stock,1,0.41,,HAIER GROUP,CNY
1993-12-14,667844491,Stock,1,0.39,,HAIER GROUP,CNY
1993-12-15,667844491,Stock,1,0.39,,HAIER GROUP,CNY
1993-12-16,667844491,Stock,1,0.38,,HAIER GROUP,CNY
1993-12-17,667844491,Stock,1,0.37,,HAIER GROUP,CNY
1993-12-20,667844491,Stock,1,0.31,,HAIER GROUP,CNY
1993-12-21,667844491,Stock,1,0.32,,HAIER GROUP,CNY
1993-12-22,667844491,Stock,1,0.32,,HAIER GROUP,CNY
1993-12-23,667844491,Stock,1,0.33,,HAIER GROUP,CNY
1993-12-24,667844491,Stock,1,0.33,,HAIER GROUP,CNY
1993-12-27,667844491,Stock,1,0.33,,HAIER GROUP,CNY
1993-12-28,667844491,Stock,1,0.32,,HAIER GROUP,CNY
1993-12-29,667844491,Stock,1,0.31,,HAIER GROUP,CNY
1993-12-30,667844491,Stock,1,0.31,,HAIER GROUP,CNY
1993-12-31,667844491,Stock,1,0.31,,HAIER GROUP,CNY
1994-01-03,667844491,Stock,1,0.33,,HAIER GROUP,CNY
1994-01-04,667844491,Stock,1,0.31,,HAIER GROUP,CNY
1994-01-05,667844491,Stock,1,0.31,,HAIER GROUP,CNY
1994-01-06,667844491,Stock,1,0.32,,HAIER GROUP,CNY
1994-01-07,667844491,Stock,1,0.33,,HAIER GROUP,CNY
1994-01-10,667844491,Stock,1,0.34,,HAIER GROUP,CNY
1994-01-11,667844491,Stock,1,0.33,,HAIER GROUP,CNY
1994-01-12,667844491,Stock,1,0.32,,HAIER GROUP,CNY
1994-01-13,667844491,Stock,1,0.34,,HAIER GROUP,CNY
1994-01-14,667844491,Stock,1,0.32,,HAIER GROUP,CNY
1994-01-17,667844491,Stock,1,0.32,,HAIER GROUP,CNY
1994-01-18,667844491,Stock,1,0.31,,HAIER GROUP,CNY
1994-01-19,667844491,Stock,1,0.31,,HAIER GROUP,CNY
1994-01-20,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-01-21,667844491,Stock,1,0.31,,HAIER GROUP,CNY
1994-01-24,667844491,Stock,1,0.32,,HAIER GROUP,CNY
1994-01-25,667844491,Stock,1,0.31,,HAIER GROUP,CNY
1994-01-26,667844491,Stock,1,0.31,,HAIER GROUP,CNY
1994-01-27,667844491,Stock,1,0.31,,HAIER GROUP,CNY
1994-01-28,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-01-31,667844491,Stock,1,0.29,,HAIER GROUP,CNY
1994-02-01,667844491,Stock,1,0.28,,HAIER GROUP,CNY
1994-02-02,667844491,Stock,1,0.29,,HAIER GROUP,CNY
1994-02-03,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-02-04,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-02-07,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-02-08,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-02-09,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-02-10,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-02-11,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-02-14,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-02-15,667844491,Stock,1,0.31,,HAIER GROUP,CNY
1994-02-16,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-02-17,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-02-18,667844491,Stock,1,0.31,,HAIER GROUP,CNY
1994-02-21,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-02-22,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-02-23,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-02-24,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-02-25,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-02-28,667844491,Stock,1,0.29,,HAIER GROUP,CNY
1994-03-01,667844491,Stock,1,0.29,,HAIER GROUP,CNY
1994-03-02,667844491,Stock,1,0.28,,HAIER GROUP,CNY
1994-03-03,667844491,Stock,1,0.27,,HAIER GROUP,CNY
1994-03-04,667844491,Stock,1,0.27,,HAIER GROUP,CNY
1994-03-07,667844491,Stock,1,0.26,,HAIER GROUP,CNY
1994-03-08,667844491,Stock,1,0.26,,HAIER GROUP,CNY
1994-03-09,667844491,Stock,1,0.26,,HAIER GROUP,CNY
1994-03-10,667844491,Stock,1,0.25,,HAIER GROUP,CNY
1994-03-11,667844491,Stock,1,0.26,,HAIER GROUP,CNY
1994-03-14,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-03-15,667844491,Stock,1,0.29,,HAIER GROUP,CNY
1994-03-16,667844491,Stock,1,0.29,,HAIER GROUP,CNY
1994-03-17,667844491,Stock,1,0.29,,HAIER GROUP,CNY
1994-03-18,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-03-21,667844491,Stock,1,0.27,,HAIER GROUP,CNY
1994-03-22,667844491,Stock,1,0.29,,HAIER GROUP,CNY
1994-03-23,667844491,Stock,1,0.29,,HAIER GROUP,CNY
1994-03-24,667844491,Stock,1,0.27,,HAIER GROUP,CNY
1994-03-25,667844491,Stock,1,0.27,,HAIER GROUP,CNY
1994-03-28,667844491,Stock,1,0.27,,HAIER GROUP,CNY
1994-03-29,667844491,Stock,1,0.27,,HAIER GROUP,CNY
1994-03-30,667844491,Stock,1,0.27,,HAIER GROUP,CNY
1994-03-31,667844491,Stock,1,0.27,,HAIER GROUP,CNY
1994-04-01,667844491,Stock,1,0.27,,HAIER GROUP,CNY
1994-04-04,667844491,Stock,1,0.25,,HAIER GROUP,CNY
1994-04-05,667844491,Stock,1,0.25,,HAIER GROUP,CNY
1994-04-06,667844491,Stock,1,0.25,,HAIER GROUP,CNY
1994-04-07,667844491,Stock,1,0.25,,HAIER GROUP,CNY
1994-04-08,667844491,Stock,1,0.26,,HAIER GROUP,CNY
1994-04-11,667844491,Stock,1,0.25,,HAIER GROUP,CNY
1994-04-12,667844491,Stock,1,0.25,,HAIER GROUP,CNY
1994-04-13,667844491,Stock,1,0.25,,HAIER GROUP,CNY
1994-04-14,667844491,Stock,1,0.23,,HAIER GROUP,CNY
1994-04-15,667844491,Stock,1,0.22,,HAIER GROUP,CNY
1994-04-18,667844491,Stock,1,0.21,,HAIER GROUP,CNY
1994-04-19,667844491,Stock,1,0.19,,HAIER GROUP,CNY
1994-04-20,667844491,Stock,1,0.18,,HAIER GROUP,CNY
1994-04-21,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-04-22,667844491,Stock,1,0.19,,HAIER GROUP,CNY
1994-04-25,667844491,Stock,1,0.19,,HAIER GROUP,CNY
1994-04-26,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-04-27,667844491,Stock,1,0.21,,HAIER GROUP,CNY
1994-04-28,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-04-29,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-05-02,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-05-03,667844491,Stock,1,0.21,,HAIER GROUP,CNY
1994-05-04,667844491,Stock,1,0.21,,HAIER GROUP,CNY
1994-05-05,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-05-06,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-05-09,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-05-10,667844491,Stock,1,0.21,,HAIER GROUP,CNY
1994-05-11,667844491,Stock,1,0.21,,HAIER GROUP,CNY
1994-05-12,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-05-13,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-05-16,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-05-17,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-05-18,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-05-19,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-05-20,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-05-23,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-05-24,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-05-25,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-05-26,667844491,Stock,1,0.19,,HAIER GROUP,CNY
1994-05-27,667844491,Stock,1,0.19,,HAIER GROUP,CNY
1994-05-30,667844491,Stock,1,0.18,,HAIER GROUP,CNY
1994-05-31,667844491,Stock,1,0.18,,HAIER GROUP,CNY
1994-06-01,667844491,Stock,1,0.18,,HAIER GROUP,CNY
1994-06-02,667844491,Stock,1,0.18,,HAIER GROUP,CNY
1994-06-03,667844491,Stock,1,0.18,,HAIER GROUP,CNY
1994-06-06,667844491,Stock,1,0.17,,HAIER GROUP,CNY
1994-06-07,667844491,Stock,1,0.16,,HAIER GROUP,CNY
1994-06-08,667844491,Stock,1,0.16,,HAIER GROUP,CNY
1994-06-09,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-06-10,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-06-13,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-06-14,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-06-15,667844491,Stock,1,0.16,,HAIER GROUP,CNY
1994-06-16,667844491,Stock,1,0.16,,HAIER GROUP,CNY
1994-06-17,667844491,Stock,1,0.17,,HAIER GROUP,CNY
1994-06-20,667844491,Stock,1,0.16,,HAIER GROUP,CNY
1994-06-21,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-06-22,667844491,Stock,1,0.16,,HAIER GROUP,CNY
1994-06-23,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-06-24,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-06-27,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-06-28,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-06-29,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-06-30,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-07-01,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-07-04,667844491,Stock,1,0.14,,HAIER GROUP,CNY
1994-07-05,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-07-06,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-07-07,667844491,Stock,1,0.14,,HAIER GROUP,CNY
1994-07-08,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-07-11,667844491,Stock,1,0.14,,HAIER GROUP,CNY
1994-07-12,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-07-13,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-07-14,667844491,Stock,1,0.14,,HAIER GROUP,CNY
1994-07-15,667844491,Stock,1,0.14,,HAIER GROUP,CNY
1994-07-18,667844491,Stock,1,0.14,,HAIER GROUP,CNY
1994-07-19,667844491,Stock,1,0.14,,HAIER GROUP,CNY
1994-07-20,667844491,Stock,1,0.13,,HAIER GROUP,CNY
1994-07-21,667844491,Stock,1,0.13,,HAIER GROUP,CNY
1994-07-22,667844491,Stock,1,0.13,,HAIER GROUP,CNY
1994-07-25,667844491,Stock,1,0.13,,HAIER GROUP,CNY
1994-07-26,667844491,Stock,1,0.13,,HAIER GROUP,CNY
1994-07-27,667844491,Stock,1,0.13,,HAIER GROUP,CNY
1994-07-28,667844491,Stock,1,0.12,,HAIER GROUP,CNY
1994-07-29,667844491,Stock,1,0.12,,HAIER GROUP,CNY
1994-08-01,667844491,Stock,1,0.16,,HAIER GROUP,CNY
1994-08-02,667844491,Stock,1,0.15,,HAIER GROUP,CNY
1994-08-03,667844491,Stock,1,0.18,,HAIER GROUP,CNY
1994-08-04,667844491,Stock,1,0.20,,HAIER GROUP,CNY
1994-08-05,667844491,Stock,1,0.28,,HAIER GROUP,CNY
1994-08-08,667844491,Stock,1,0.27,,HAIER GROUP,CNY
1994-08-09,667844491,Stock,1,0.24,,HAIER GROUP,CNY
1994-08-10,667844491,Stock,1,0.29,,HAIER GROUP,CNY
1994-08-11,667844491,Stock,1,0.26,,HAIER GROUP,CNY
1994-08-12,667844491,Stock,1,0.26,,HAIER GROUP,CNY
1994-08-15,667844491,Stock,1,0.24,,HAIER GROUP,CNY
1994-08-16,667844491,Stock,1,0.25,,HAIER GROUP,CNY
1994-08-17,667844491,Stock,1,0.26,,HAIER GROUP,CNY
1994-08-18,667844491,Stock,1,0.28,,HAIER GROUP,CNY
1994-08-19,667844491,Stock,1,0.27,,HAIER GROUP,CNY
1994-08-22,667844491,Stock,1,0.25,,HAIER GROUP,CNY
1994-08-23,667844491,Stock,1,0.26,,HAIER GROUP,CNY
1994-08-24,667844491,Stock,1,0.26,,HAIER GROUP,CNY
1994-08-25,667844491,Stock,1,0.27,,HAIER GROUP,CNY
1994-08-26,667844491,Stock,1,0.27,,HAIER GROUP,CNY
1994-08-29,667844491,Stock,1,0.27,,HAIER GROUP,CNY
1994-08-30,667844491,Stock,1,0.28,,HAIER GROUP,CNY
1994-08-31,667844491,Stock,1,0.30,,HAIER GROUP,CNY
1994-09-01,667844491,Stock,1,0.31,,HAIER GROUP,CNY
1994-09-02,667844491,Stock,1,0.31,,HAIER GROUP,CNY
1994-09-05,667844491,Stock,1,0.36,,HAIER GROUP,CNY
1994-09-06,667844491,Stock,1,0.38,,HAIER GROUP,CNY
1994-09-07,667844491,Stock,1,0.35,,HAIER GROUP,CNY
1994-09-08,667844491,Stock,1,0.37,,HAIER GROUP,CNY
1994-09-09,667844491,Stock,1,0.35,,HAIER GROUP,CNY
1994-09-12,667844491,Stock,1,0.37,,HAIER GROUP,CNY
1994-09-13,667844491,Stock,1,0.39,,HAIER GROUP,CNY
1994-09-14,667844491,Stock,1,0.36,,HAIER GROUP,CNY
1994-09-15,667844491,Stock,1,0.36,,HAIER GROUP,CNY
1994-09-16,667844491,Stock,1,0.37,,HAIER GROUP,CNY
1994-09-19,667844491,Stock,1,0.35,,HAIER GROUP,CNY
1994-09-20,667844491,Stock,1,0.36,,HAIER GROUP,CNY
1994-09-21,667844491,Stock,1,0.37,,HAIER GROUP,CNY
1994-09-22,667844491,Stock,1,0.34,,HAIER GROUP,CNY
1994-09-23,667844491,Stock,1,0.32,,HAIER GROUP,CNY
1994-09-26,667844491,Stock,1,0.32,,HAIER GROUP,CNY
1994-09-27,667844491,Stock,1,0.32,,HAIER GROUP,CNY
1994-09-28,667844491,Stock,1,0.33,,HAIER GROUP,CNY
1994-09-29,667844491,Stock,1,0.29,,HAIER GROUP,CNY
1994-09-30,667844491,Stock,1,0.27,,HAIER GROUP,CNY
1994-10-03,667844491,Stock,1,0.27,,HAIER GROUP,CNY
1994-10-04,667844491,Stock,1,0.27,,HAIER GROUP,CNY
